id,composition,energy,structure
./Mo4P6-4381_POSCAR,Mo4 P6,-793.0000,./Mo4P6-4381_POSCARPOSCAR
./Si7B3-6059_POSCAR,B3 Si7,-535.4300,./Si7B3-6059_POSCARPOSCAR
./Si3P7-6064_POSCAR,P7 Si3,-531.1900,./Si3P7-6064_POSCARPOSCAR
./Mo2P10-4750_POSCAR,Mo2 P10,-906.0720,./Mo2P10-4750_POSCARPOSCAR
./Si1B2Mo4P3-3279_POSCAR,B2 Mo4 P3 Si1,-810.6100,./Si1B2Mo4P3-3279_POSCARPOSCAR
./B2Mo6P2-5430_POSCAR,B2 Mo6 P2,-913.2500,./B2Mo6P2-5430_POSCARPOSCAR
./Si2Mo4P4-2612_POSCAR,Mo4 P4 Si2,-788.9600,./Si2Mo4P4-2612_POSCARPOSCAR
./Mo6P6-2515_POSCAR,Mo6 P6,-1241.5200,./Mo6P6-2515_POSCARPOSCAR
./Mo4P6-7172_POSCAR,Mo4 P6,-765.6700,./Mo4P6-7172_POSCARPOSCAR
./Si7P5-1337_POSCAR,P5 Si7,-754.0200,./Si7P5-1337_POSCARPOSCAR
./Mo3P9-1801_POSCAR,Mo3 P9,-991.7640,./Mo3P9-1801_POSCARPOSCAR
./Si2B3Mo3P2-4531_POSCAR,B3 Mo3 P2 Si2,-751.4900,./Si2B3Mo3P2-4531_POSCARPOSCAR
./Mo2P8-2323_POSCAR,Mo2 P8,-657.3200,./Mo2P8-2323_POSCARPOSCAR
./B2Mo2P2-4312_POSCAR,B2 Mo2 P2,-285.8160,./B2Mo2P2-4312_POSCARPOSCAR
./Si4Mo2P4-5583_POSCAR,Mo2 P4 Si4,-643.8900,./Si4Mo2P4-5583_POSCARPOSCAR
./Si2B2Mo4P2-1166_POSCAR,B2 Mo4 P2 Si2,-810.5300,./Si2B2Mo4P2-1166_POSCARPOSCAR
./Si1B2Mo6P4-5901_POSCAR,B2 Mo6 P4 Si1,-1393.8600,./Si1B2Mo6P4-5901_POSCARPOSCAR
./Si2B3P3-2405_POSCAR,B3 P3 Si2,-387.7280,./Si2B3P3-2405_POSCARPOSCAR
./Si3B4Mo5-2274_POSCAR,B4 Mo5 Si3,-1212.6000,./Si3B4Mo5-2274_POSCARPOSCAR
./Si6B5P9-2299_POSCAR,B5 P9 Si6,-2296.2000,./Si6B5P9-2299_POSCARPOSCAR
./Si6B2P4-6992_POSCAR,B2 P4 Si6,-804.7080,./Si6B2P4-6992_POSCARPOSCAR
./B2Mo4P3-1934_POSCAR,B2 Mo4 P3,-678.4290,./B2Mo4P3-1934_POSCARPOSCAR
./Si6B2P2-3593_POSCAR,B2 P2 Si6,-549.7600,./Si6B2P2-3593_POSCARPOSCAR
./Si8Mo4-7290_POSCAR,Mo4 Si8,-1090.3920,./Si8Mo4-7290_POSCARPOSCAR
./Si5B2P3-6205_POSCAR,B2 P3 Si5,-553.6100,./Si5B2P3-6205_POSCARPOSCAR
./Si5Mo1P5-1430_POSCAR,Mo1 P5 Si5,-708.6530,./Si5Mo1P5-1430_POSCARPOSCAR
./Si2B3Mo6P3-4603_POSCAR,B3 Mo6 P3 Si2,-1610.1400,./Si2B3Mo6P3-4603_POSCARPOSCAR
./Si3B2Mo3-4417_POSCAR,B2 Mo3 Si3,-502.7520,./Si3B2Mo3-4417_POSCARPOSCAR
./Si3B3Mo9-1845_POSCAR,B3 Mo9 Si3,-2038.5000,./Si3B3Mo9-1845_POSCARPOSCAR
./Si2B4-515_POSCAR,B4 Si2,-216.4800,./Si2B4-515_POSCARPOSCAR
./Si2B1Mo1-6662_POSCAR,B1 Mo1 Si2,-111.8880,./Si2B1Mo1-6662_POSCARPOSCAR
./Si8P2-5893_POSCAR,P2 Si8,-527.3200,./Si8P2-5893_POSCARPOSCAR
./Si4B3P3-3417_POSCAR,B3 P3 Si4,-569.6900,./Si4B3P3-3417_POSCARPOSCAR
./B2Mo8P2-7142_POSCAR,B2 Mo8 P2,-1365.1200,./B2Mo8P2-7142_POSCARPOSCAR
./Si2Mo4-108_POSCAR,Mo4 Si2,-330.9360,./Si2Mo4-108_POSCARPOSCAR
./Si5P7-5986_POSCAR,P7 Si5,-758.8440,./Si5P7-5986_POSCARPOSCAR
./Mo4P6-5514_POSCAR,Mo4 P6,-779.1000,./Mo4P6-5514_POSCARPOSCAR
./Si2B2P2-5504_POSCAR,B2 P2 Si2,-206.7480,./Si2B2P2-5504_POSCARPOSCAR
./Si1B3-4503_POSCAR,B3 Si1,-96.0600,./Si1B3-4503_POSCARPOSCAR
./Si2B2P2-693_POSCAR,B2 P2 Si2,-209.3160,./Si2B2P2-693_POSCARPOSCAR
./Si2Mo3-2112_POSCAR,Mo3 Si2,-220.4100,./Si2Mo3-2112_POSCARPOSCAR
./Si3P3-67_POSCAR,P3 Si3,-184.5840,./Si3P3-67_POSCARPOSCAR
./Si10Mo6-3993_POSCAR,Mo6 Si10,-1971.2000,./Si10Mo6-3993_POSCARPOSCAR
