File,Energy
B4Mo4P4-6930_POSCAR, -93.369
Si5B3P4-1468_POSCAR, -68.314
Si3Mo4P5-3003_POSCAR,  -90.15
Si4-1_POSCAR,  -20.45
Si6B5-3731_POSCAR, -60.145
Si2B2P2-24_POSCAR, -35.343
Si3B3P5-6331_POSCAR, -62.467
Si3B2-4999_POSCAR, -27.466
Si3B5-740_POSCAR, -46.393
P10-1575_POSCAR, -51.708
Si7B3P10-3595_POSCAR, -108.53
Si2Mo9P5-7293_POSCAR, -140.39
Si7Mo4-4819_POSCAR, -82.762
Si2Mo2P2-6208_POSCAR, -44.518
Si3Mo1P6-1305_POSCAR, -58.469
Si2Mo2P8-1928_POSCAR, -76.415
Si2Mo1P4-2020_POSCAR,  -43.46
Si2B1Mo2P2-6388_POSCAR, -50.818
B1Mo2P1-6446_POSCAR, -35.098
Si6Mo2-7028_POSCAR, -53.859
Si5P6-2312_POSCAR, -57.205
Si3B3P12-2408_POSCAR, -98.288
Si2B1P2-2308_POSCAR, -27.472
Si4Mo3P7-1584_POSCAR, -92.402
Si2B6-784_POSCAR, -47.471
Si3B3Mo6-5354_POSCAR, -104.56
Si4P8-2801_POSCAR, -63.455
Si3Mo3P14-3073_POSCAR, -123.48
Si1B2Mo4P3-6562_POSCAR, -80.518
Si3Mo1P8-952_POSCAR,  -69.78
Si4B4Mo4-6340_POSCAR, -91.819
Si1Mo2P3-2305_POSCAR, -43.988
Si5B3Mo12-3868_POSCAR, -180.56
Si6Mo5-6706_POSCAR, -89.163
Mo2P6-4666_POSCAR, -54.044
Si4Mo2-6115_POSCAR, -44.309
Si3P6-1025_POSCAR, -47.324
Si4Mo2-7268_POSCAR, -44.765
B6Mo6-4498_POSCAR,  -107.6
Si6Mo2P6-2632_POSCAR, -85.542
Mo4P2-69_POSCAR, -56.032
Si6P4-3486_POSCAR, -53.151
Mo2P8-3646_POSCAR, -65.518
Si5Mo2P5-2880_POSCAR, -76.317
Si6P4-2077_POSCAR, -53.149
Si3B1Mo1P4-2740_POSCAR,  -55.41
Si7Mo3-6998_POSCAR, -71.511
Si4Mo2P6-2844_POSCAR, -75.335
Si4B4-6993_POSCAR, -45.196
